,X,Y,Part,Photo_id,Human_id
0,436,285,Nose,0,0
1,421,251,REye,0,0
2,487,242,LEye,0,0
3,435,330,RM,0,0
4,473,329,LM,0,0
5,443,265,REar,0,0
6,571,271,LEar,0,0
0,436,296,Nose,1,0
1,410,260,REye,1,0
2,480,254,LEye,1,0
3,418,338,RM,1,0
4,463,339,LM,1,0
5,384,295,REar,1,0
6,543,285,LEar,1,0
0,438,300,Nose,2,0
1,401,261,REye,2,0
2,476,260,LEye,2,0
3,416,341,RM,2,0
4,462,341,LM,2,0
5,361,298,REar,2,0
6,524,289,LEar,2,0
0,433,297,Nose,3,0
1,389,262,REye,3,0
2,459,257,LEye,3,0
3,410,338,RM,3,0
4,453,335,LM,3,0
5,332,299,REar,3,0
6,471,283,LEar,3,0
0,429,293,Nose,4,0
1,381,257,REye,4,0
2,446,254,LEye,4,0
3,404,333,RM,4,0
4,442,330,LM,4,0
5,305,293,REar,4,0
6,442,279,LEar,4,0
0,438,272,Nose,5,0
1,421,237,REye,5,0
2,489,231,LEye,5,0
3,429,310,RM,5,0
4,488,310,LM,5,0
5,442,257,REar,5,0
6,584,261,LEar,5,0
0,439,280,Nose,6,0
1,411,246,REye,6,0
2,484,245,LEye,6,0
3,417,318,RM,6,0
4,477,322,LM,6,0
5,403,268,REar,6,0
6,552,278,LEar,6,0
0,443,285,Nose,7,0
1,406,249,REye,7,0
2,481,251,LEye,7,0
3,412,322,RM,7,0
4,474,325,LM,7,0
5,360,285,REar,7,0
6,527,284,LEar,7,0
0,439,284,Nose,8,0
1,395,250,REye,8,0
2,462,248,LEye,8,0
3,406,320,RM,8,0
4,463,319,LM,8,0
5,331,289,REar,8,0
6,467,269,LEar,8,0
0,441,279,Nose,9,0
1,390,245,REye,9,0
2,453,245,LEye,9,0
3,401,315,RM,9,0
4,451,315,LM,9,0
5,310,283,REar,9,0
6,453,272,LEar,9,0
0,436,285,Nose,10,0
1,423,249,REye,10,0
2,489,242,LEye,10,0
3,435,330,RM,10,0
4,473,329,LM,10,0
5,442,268,REar,10,0
6,586,268,LEar,10,0
0,436,296,Nose,11,0
1,410,258,REye,11,0
2,483,255,LEye,11,0
3,422,336,RM,11,0
4,466,337,LM,11,0
5,413,284,REar,11,0
6,552,283,LEar,11,0
0,438,300,Nose,12,0
1,401,261,REye,12,0
2,476,260,LEye,12,0
3,416,341,RM,12,0
4,462,341,LM,12,0
5,361,298,REar,12,0
6,524,289,LEar,12,0
0,433,297,Nose,13,0
1,389,262,REye,13,0
2,459,257,LEye,13,0
3,410,338,RM,13,0
4,453,335,LM,13,0
5,332,299,REar,13,0
6,471,283,LEar,13,0
0,429,293,Nose,14,0
1,381,257,REye,14,0
2,446,254,LEye,14,0
3,404,333,RM,14,0
4,442,330,LM,14,0
5,305,293,REar,14,0
6,425,276,LEar,14,0
0,430,271,Nose,15,0
1,419,240,REye,15,0
2,485,232,LEye,15,0
3,427,313,RM,15,0
4,485,311,LM,15,0
5,438,256,REar,15,0
6,584,261,LEar,15,0
0,434,281,Nose,16,0
1,405,249,REye,16,0
2,479,246,LEye,16,0
3,415,323,RM,16,0
4,477,322,LM,16,0
5,398,272,REar,16,0
6,551,279,LEar,16,0
0,439,286,Nose,17,0
1,402,252,REye,17,0
2,477,252,LEye,17,0
3,409,325,RM,17,0
4,474,325,LM,17,0
5,360,288,REar,17,0
6,525,285,LEar,17,0
0,434,285,Nose,18,0
1,391,252,REye,18,0
2,462,248,LEye,18,0
3,403,322,RM,18,0
4,463,319,LM,18,0
5,330,292,REar,18,0
6,467,269,LEar,18,0
0,434,282,Nose,19,0
1,386,248,REye,19,0
2,450,246,LEye,19,0
3,398,319,RM,19,0
4,451,315,LM,19,0
5,305,286,REar,19,0
6,426,260,LEar,19,0
0,438,282,Nose,20,0
1,421,250,REye,20,0
2,489,241,LEye,20,0
3,435,330,RM,20,0
4,476,327,LM,20,0
5,448,253,REar,20,0
6,585,265,LEar,20,0
0,436,296,Nose,21,0
1,409,258,REye,21,0
2,480,254,LEye,21,0
3,422,338,RM,21,0
4,468,337,LM,21,0
5,408,289,REar,21,0
6,552,284,LEar,21,0
0,438,300,Nose,22,0
1,403,260,REye,22,0
2,476,260,LEye,22,0
3,416,341,RM,22,0
4,463,340,LM,22,0
5,361,298,REar,22,0
6,524,289,LEar,22,0
0,433,297,Nose,23,0
1,389,262,REye,23,0
2,459,257,LEye,23,0
3,410,338,RM,23,0
4,455,334,LM,23,0
5,332,299,REar,23,0
6,462,295,LEar,23,0
0,431,289,Nose,24,0
1,381,257,REye,24,0
2,446,254,LEye,24,0
3,404,333,RM,24,0
4,442,330,LM,24,0
5,305,293,REar,24,0
6,445,285,LEar,24,0
0,438,279,Nose,25,0
1,420,241,REye,25,0
2,488,232,LEye,25,0
3,431,316,RM,25,0
4,488,310,LM,25,0
5,446,250,REar,25,0
6,584,261,LEar,25,0
0,441,286,Nose,26,0
1,411,249,REye,26,0
2,482,246,LEye,26,0
3,417,322,RM,26,0
4,480,322,LM,26,0
5,403,268,REar,26,0
6,553,277,LEar,26,0
0,443,286,Nose,27,0
1,406,252,REye,27,0
2,479,253,LEye,27,0
3,413,323,RM,27,0
4,474,325,LM,27,0
5,362,288,REar,27,0
6,527,284,LEar,27,0
0,439,284,Nose,28,0
1,392,252,REye,28,0
2,462,249,LEye,28,0
3,403,324,RM,28,0
4,463,319,LM,28,0
5,332,288,REar,28,0
6,467,272,LEar,28,0
0,439,282,Nose,29,0
1,386,248,REye,29,0
2,451,246,LEye,29,0
3,398,319,RM,29,0
4,448,315,LM,29,0
5,308,287,REar,29,0
6,447,270,LEar,29,0
0,436,285,Nose,30,0
1,422,249,REye,30,0
2,487,242,LEye,30,0
3,435,328,RM,30,0
4,477,330,LM,30,0
5,444,268,REar,30,0
6,584,267,LEar,30,0
0,436,296,Nose,31,0
1,408,258,REye,31,0
2,480,254,LEye,31,0
3,421,337,RM,31,0
4,469,336,LM,31,0
5,405,296,REar,31,0
